             JOBID PARTITION     NAME     USER ST       TIME  NODES NODELIST(REASON) 
           6875189       cor cmcl-fus    thehn  R 3-11:33:09      1 cor1 
    6885453_[1-20]   general  Triplet     lwu3 PD       0:00      1 (Priority) 
    6885454_[1-20]   general  Triplet     lwu3 PD       0:00      1 (Priority) 
    6885455_[1-20]   general  Triplet     lwu3 PD       0:00      1 (Priority) 
    6885456_[1-20]   general  Triplet     lwu3 PD       0:00      1 (Priority) 
    6885457_[1-20]   general  Triplet     lwu3 PD       0:00      1 (Priority) 
    6885459_[1-20]   general  Triplet     lwu3 PD       0:00      1 (Priority) 
      6885438_[20]   general  Triplet     lwu3 PD       0:00      1 (Priority) 
           6886266   general Mar119_2     lzou PD       0:00      1 (Priority) 
           6886267   general Mar119_2     lzou PD       0:00      1 (Priority) 
           6886268   general Mar119_3     lzou PD       0:00      1 (Priority) 
           6886269   general Mar119_3     lzou PD       0:00      1 (Priority) 
           6886270   general Mar119_3     lzou PD       0:00      1 (Priority) 
           6886271   general Mar119_3     lzou PD       0:00      1 (Priority) 
           6886272   general Mar119_3     lzou PD       0:00      1 (Priority) 
           6886273   general Mar119_3     lzou PD       0:00      1 (Priority) 
           6886274   general Mar119_3     lzou PD       0:00      1 (Priority) 
           6886275   general Mar119_3     lzou PD       0:00      1 (Priority) 
           6886276   general Mar119_3     lzou PD       0:00      1 (Priority) 
           6886277   general Mar119_3     lzou PD       0:00      1 (Priority) 
           6886278   general Mar119_4     lzou PD       0:00      1 (Priority) 
           6886279   general Mar119_4     lzou PD       0:00      1 (Priority) 
           6886280   general Mar119_4     lzou PD       0:00      1 (Priority) 
           6886281   general Mar119_4     lzou PD       0:00      1 (Priority) 
           6886282   general Mar119_4     lzou PD       0:00      1 (Priority) 
           6886283   general Mar119_4     lzou PD       0:00      1 (Priority) 
           6886284   general Mar119_4     lzou PD       0:00      1 (Priority) 
           6886285   general Mar119_4     lzou PD       0:00      1 (Priority) 
           6886286   general Mar119_4     lzou PD       0:00      1 (Priority) 
           6886287   general Mar119_4     lzou PD       0:00      1 (Priority) 
           6886288   general Mar119_5     lzou PD       0:00      1 (Priority) 
           6886289   general Mar119_5     lzou PD       0:00      1 (Priority) 
           6886290   general Mar119_5     lzou PD       0:00      1 (Priority) 
           6886291   general Mar119_5     lzou PD       0:00      1 (Priority) 
           6886292   general Mar119_5     lzou PD       0:00      1 (Priority) 
           6886293   general Mar119_5     lzou PD       0:00      1 (Priority) 
           6886294   general Mar119_5     lzou PD       0:00      1 (Priority) 
           6886295   general Mar119_5     lzou PD       0:00      1 (Priority) 
           6886296   general Mar119_5     lzou PD       0:00      1 (Priority) 
           6886297   general Mar119_5     lzou PD       0:00      1 (Priority) 
           6886298   general Mar119_6     lzou PD       0:00      1 (Priority) 
           6886299   general Mar119_6     lzou PD       0:00      1 (Priority) 
           6886300   general Mar119_6     lzou PD       0:00      1 (Priority) 
           6886301   general Mar119_6     lzou PD       0:00      1 (Priority) 
           6886302   general Mar119_6     lzou PD       0:00      1 (Priority) 
           6886303   general Mar119_6     lzou PD       0:00      1 (Priority) 
           6886304   general Mar119_6     lzou PD       0:00      1 (Priority) 
           6886305   general Mar119_6     lzou PD       0:00      1 (Priority) 
           6886306   general Mar119_6     lzou PD       0:00      1 (Priority) 
           6886307   general Mar119_6     lzou PD       0:00      1 (Priority) 
           6886308   general Mar119_7     lzou PD       0:00      1 (Priority) 
           6886309   general Mar119_7     lzou PD       0:00      1 (Priority) 
           6886310   general Mar119_7     lzou PD       0:00      1 (Priority) 
           6886311   general Mar119_7     lzou PD       0:00      1 (Priority) 
           6886312   general Mar119_7     lzou PD       0:00      1 (Priority) 
           6886313   general Mar119_7     lzou PD       0:00      1 (Priority) 
           6886314   general Mar119_7     lzou PD       0:00      1 (Priority) 
           6886315   general Mar119_7     lzou PD       0:00      1 (Priority) 
           6886316   general Mar119_7     lzou PD       0:00      1 (Priority) 
           6886317   general Mar119_7     lzou PD       0:00      1 (Priority) 
           6886318   general Mar119_8     lzou PD       0:00      1 (Priority) 
           6886319   general Mar119_8     lzou PD       0:00      1 (Priority) 
           6886320   general Mar119_8     lzou PD       0:00      1 (Priority) 
           6886321   general Mar119_8     lzou PD       0:00      1 (Priority) 
           6886322   general Mar119_8     lzou PD       0:00      1 (Priority) 
           6886323   general Mar119_8     lzou PD       0:00      1 (Priority) 
           6886324   general Mar119_8     lzou PD       0:00      1 (Priority) 
           6886325   general Mar119_8     lzou PD       0:00      1 (Priority) 
           6886326   general Mar119_8     lzou PD       0:00      1 (Priority) 
           6886327   general Mar119_8     lzou PD       0:00      1 (Priority) 
           6886328   general Mar119_9     lzou PD       0:00      1 (Priority) 
           6886329   general Mar119_9     lzou PD       0:00      1 (Priority) 
           6886330   general Mar119_9     lzou PD       0:00      1 (Priority) 
           6886331   general Mar119_9     lzou PD       0:00      1 (Priority) 
           6886332   general Mar119_9     lzou PD       0:00      1 (Priority) 
           6886333   general Mar119_9     lzou PD       0:00      1 (Priority) 
           6886334   general Mar119_9     lzou PD       0:00      1 (Priority) 
           6886335   general Mar119_9     lzou PD       0:00      1 (Priority) 
           6886336   general Mar119_9     lzou PD       0:00      1 (Priority) 
           6886337   general Mar119_9     lzou PD       0:00      1 (Priority) 
           6886338   general Mar119_1     lzou PD       0:00      1 (Priority) 
           6886339   general Mar119_1     lzou PD       0:00      1 (Priority) 
           6886340   general Mar119_1     lzou PD       0:00      1 (Priority) 
           6886341   general Mar119_1     lzou PD       0:00      1 (Priority) 
           6886342   general Mar119_1     lzou PD       0:00      1 (Priority) 
           6886343   general Mar119_1     lzou PD       0:00      1 (Priority) 
           6886344   general Mar119_1     lzou PD       0:00      1 (Priority) 
           6886345   general Mar119_1     lzou PD       0:00      1 (Priority) 
           6886346   general Mar119_1     lzou PD       0:00      1 (Priority) 
           6886347   general Mar119_1     lzou PD       0:00      1 (Priority) 
           6886348   general Mar119_1     lzou PD       0:00      1 (Priority) 
           6886349   general Mar119_1     lzou PD       0:00      1 (Priority) 
           6886350   general Mar119_1     lzou PD       0:00      1 (Priority) 
           6886351   general Mar119_1     lzou PD       0:00      1 (Priority) 
           6886352   general Mar119_1     lzou PD       0:00      1 (Priority) 
           6886353   general Mar119_1     lzou PD       0:00      1 (Priority) 
           6886354   general Mar119_1     lzou PD       0:00      1 (Priority) 
           6886355   general Mar119_1     lzou PD       0:00      1 (Priority) 
           6886356   general Mar119_1     lzou PD       0:00      1 (Priority) 
           6886357   general Mar119_1     lzou PD       0:00      1 (Priority) 
           6886358   general Mar119_1     lzou PD       0:00      1 (Priority) 
           6886359   general Mar119_1     lzou PD       0:00      1 (Priority) 
           6886360   general Mar119_1     lzou PD       0:00      1 (Priority) 
           6886361   general Mar119_1     lzou PD       0:00      1 (Priority) 
           6886362   general Mar119_1     lzou PD       0:00      1 (Priority) 
           6886363   general Mar119_1     lzou PD       0:00      1 (Priority) 
           6886364   general Mar119_1     lzou PD       0:00      1 (Priority) 
           6886365   general Mar119_1     lzou PD       0:00      1 (Priority) 
           6886366   general Mar119_1     lzou PD       0:00      1 (Priority) 
           6886367   general Mar119_1     lzou PD       0:00      1 (Priority) 
           6886368   general Mar119_1     lzou PD       0:00      1 (Priority) 
           6886369   general Mar119_1     lzou PD       0:00      1 (Priority) 
           6886370   general Mar119_1     lzou PD       0:00      1 (Priority) 
           6886371   general Mar119_1     lzou PD       0:00      1 (Priority) 
           6886372   general Mar119_1     lzou PD       0:00      1 (Priority) 
           6886373   general Mar119_1     lzou PD       0:00      1 (Priority) 
           6886374   general Mar119_1     lzou PD       0:00      1 (Priority) 
           6886375   general Mar119_1     lzou PD       0:00      1 (Priority) 
           6886376   general Mar119_1     lzou PD       0:00      1 (Priority) 
           6886377   general Mar119_1     lzou PD       0:00      1 (Priority) 
           6886378   general Mar119_1     lzou PD       0:00      1 (Priority) 
           6886379   general Mar119_1     lzou PD       0:00      1 (Priority) 
           6886380   general Mar119_1     lzou PD       0:00      1 (Priority) 
           6886381   general Mar119_1     lzou PD       0:00      1 (Priority) 
           6886382   general Mar119_1     lzou PD       0:00      1 (Priority) 
           6886383   general Mar119_1     lzou PD       0:00      1 (Priority) 
           6886384   general Mar119_1     lzou PD       0:00      1 (Priority) 
           6886385   general Mar119_1     lzou PD       0:00      1 (Priority) 
           6886386   general Mar119_1     lzou PD       0:00      1 (Priority) 
           6886387   general Mar119_1     lzou PD       0:00      1 (Priority) 
           6886388   general Mar119_1     lzou PD       0:00      1 (Priority) 
           6886389   general Mar119_1     lzou PD       0:00      1 (Priority) 
           6886390   general Mar119_1     lzou PD       0:00      1 (Priority) 
           6886391   general Mar119_1     lzou PD       0:00      1 (Priority) 
           6886392   general Mar119_1     lzou PD       0:00      1 (Priority) 
           6886393   general Mar119_1     lzou PD       0:00      1 (Priority) 
           6886394   general Mar119_1     lzou PD       0:00      1 (Priority) 
           6886395   general Mar119_1     lzou PD       0:00      1 (Priority) 
           6886396   general Mar119_1     lzou PD       0:00      1 (Priority) 
           6886398   general Mar119_1     lzou PD       0:00      1 (Priority) 
           6886399   general Mar119_1     lzou PD       0:00      1 (Priority) 
           6886400   general Mar119_1     lzou PD       0:00      1 (Priority) 
           6886401   general Mar119_1     lzou PD       0:00      1 (Priority) 
           6886402   general Mar119_1     lzou PD       0:00      1 (Priority) 
           6886403   general Mar119_1     lzou PD       0:00      1 (Priority) 
           6886404   general Mar119_1     lzou PD       0:00      1 (Priority) 
           6886405   general Mar119_1     lzou PD       0:00      1 (Priority) 
           6886406   general Mar119_1     lzou PD       0:00      1 (Priority) 
           6886407   general Mar119_1     lzou PD       0:00      1 (Priority) 
           6886408   general Mar119_1     lzou PD       0:00      1 (Priority) 
           6886409   general Mar119_1     lzou PD       0:00      1 (Priority) 
           6886410   general Mar119_1     lzou PD       0:00      1 (Priority) 
           6886411   general Mar119_1     lzou PD       0:00      1 (Priority) 
           6886412   general Mar119_1     lzou PD       0:00      1 (Priority) 
           6886413   general Mar119_1     lzou PD       0:00      1 (Priority) 
           6886414   general Mar119_1     lzou PD       0:00      1 (Priority) 
           6886415   general Mar119_1     lzou PD       0:00      1 (Priority) 
           6886416   general Mar119_1     lzou PD       0:00      1 (Priority) 
           6886417   general Mar119_1     lzou PD       0:00      1 (Priority) 
           6886418   general Mar119_1     lzou PD       0:00      1 (Priority) 
           6886419   general Mar119_1     lzou PD       0:00      1 (Priority) 
           6886420   general Mar119_1     lzou PD       0:00      1 (Priority) 
           6886421   general Mar119_1     lzou PD       0:00      1 (Priority) 
           6886422   general Mar119_1     lzou PD       0:00      1 (Priority) 
           6886423   general Mar119_1     lzou PD       0:00      1 (Priority) 
           6886424   general Mar119_1     lzou PD       0:00      1 (Priority) 
           6886425   general Mar119_1     lzou PD       0:00      1 (Priority) 
           6886426   general Mar119_1     lzou PD       0:00      1 (Priority) 
           6886427   general Mar119_1     lzou PD       0:00      1 (Priority) 
           6886428   general Mar119_1     lzou PD       0:00      1 (Priority) 
           6886429   general Mar119_1     lzou PD       0:00      1 (Priority) 
           6886430   general Mar119_1     lzou PD       0:00      1 (Priority) 
           6886431   general Mar119_1     lzou PD       0:00      1 (Priority) 
           6886432   general Mar119_1     lzou PD       0:00      1 (Priority) 
           6886433   general Mar119_1     lzou PD       0:00      1 (Priority) 
           6886434   general Mar119_1     lzou PD       0:00      1 (Priority) 
           6886435   general Mar119_1     lzou PD       0:00      1 (Priority) 
           6886436   general Mar119_1     lzou PD       0:00      1 (Priority) 
           6886437   general Mar119_1     lzou PD       0:00      1 (Priority) 
           6886438   general Mar119_1     lzou PD       0:00      1 (Priority) 
           6886439   general Mar119_2     lzou PD       0:00      1 (Priority) 
           6886440   general Mar119_2     lzou PD       0:00      1 (Priority) 
           6886441   general Mar119_2     lzou PD       0:00      1 (Priority) 
           6886442   general Mar119_2     lzou PD       0:00      1 (Priority) 
           6886443   general Mar119_2     lzou PD       0:00      1 (Priority) 
           6886444   general Mar119_2     lzou PD       0:00      1 (Priority) 
           6886445   general Mar119_2     lzou PD       0:00      1 (Priority) 
           6886446   general Mar119_2     lzou PD       0:00      1 (Priority) 
           6886447   general Mar119_2     lzou PD       0:00      1 (Priority) 
           6886448   general Mar119_2     lzou PD       0:00      1 (Priority) 
           6886449   general Mar119_2     lzou PD       0:00      1 (Priority) 
           6886450   general Mar119_2     lzou PD       0:00      1 (Priority) 
           6886451   general Mar119_2     lzou PD       0:00      1 (Priority) 
           6886452   general Mar119_2     lzou PD       0:00      1 (Priority) 
           6886453   general Mar119_2     lzou PD       0:00      1 (Priority) 
           6886454   general Mar119_2     lzou PD       0:00      1 (Priority) 
           6886455   general Mar119_2     lzou PD       0:00      1 (Priority) 
           6886456   general Mar119_2     lzou PD       0:00      1 (Priority) 
           6886457   general Mar119_2     lzou PD       0:00      1 (Priority) 
           6886458   general Mar119_2     lzou PD       0:00      1 (Priority) 
           6886459   general Mar119_2     lzou PD       0:00      1 (Priority) 
           6886460   general Mar119_2     lzou PD       0:00      1 (Priority) 
           6886461   general Mar119_2     lzou PD       0:00      1 (Priority) 
           6886462   general Mar119_2     lzou PD       0:00      1 (Priority) 
           6886463   general Mar119_2     lzou PD       0:00      1 (Priority) 
           6886464   general Mar119_2     lzou PD       0:00      1 (Priority) 
           6886465   general Mar119_2     lzou PD       0:00      1 (Priority) 
           6886466   general Mar119_2     lzou PD       0:00      1 (Priority) 
           6886467   general Mar119_2     lzou PD       0:00      1 (Priority) 
           6886468   general Mar119_2     lzou PD       0:00      1 (Priority) 
           6886469   general Mar119_2     lzou PD       0:00      1 (Priority) 
           6886470   general Mar119_2     lzou PD       0:00      1 (Priority) 
           6886471   general Mar119_2     lzou PD       0:00      1 (Priority) 
           6886472   general Mar119_2     lzou PD       0:00      1 (Priority) 
           6886473   general Mar119_2     lzou PD       0:00      1 (Priority) 
           6886474   general Mar119_2     lzou PD       0:00      1 (Priority) 
           6886475   general Mar119_2     lzou PD       0:00      1 (Priority) 
           6886476   general Mar119_2     lzou PD       0:00      1 (Priority) 
           6886477   general Mar119_2     lzou PD       0:00      1 (Priority) 
           6886478   general Mar119_2     lzou PD       0:00      1 (Priority) 
           6886479   general Mar119_2     lzou PD       0:00      1 (Priority) 
           6886480   general Mar119_2     lzou PD       0:00      1 (Priority) 
           6886481   general Mar119_2     lzou PD       0:00      1 (Priority) 
           6886482   general Mar119_2     lzou PD       0:00      1 (Priority) 
           6886483   general Mar119_2     lzou PD       0:00      1 (Priority) 
           6886484   general Mar119_2     lzou PD       0:00      1 (Priority) 
           6886485   general Mar119_2     lzou PD       0:00      1 (Priority) 
           6886486   general Mar119_2     lzou PD       0:00      1 (Priority) 
           6886487   general Mar119_2     lzou PD       0:00      1 (Priority) 
           6886488   general Mar119_2     lzou PD       0:00      1 (Priority) 
           6886489   general Mar119_2     lzou PD       0:00      1 (Priority) 
           6886490   general Mar120_1     lzou PD       0:00      1 (Priority) 
           6886491   general Mar120_2     lzou PD       0:00      1 (Priority) 
           6886492   general Mar120_3     lzou PD       0:00      1 (Priority) 
           6886493   general Mar120_4     lzou PD       0:00      1 (Priority) 
